impid,aid,imp_name
3336,Bobby Moynihan,Seth Rogen
3342,Nasim Pedrad,Aziz Ansari
3278,Nasim Pedrad,Kristin Chenoweth
3338,Jay Pharoah,Tracy Morgan
3344,Noel Wells,Kristen Stewart
3343,Noel Wells,Emma Stone
3347,Miley Cyrus,Michele Bachmann
3349,Miley Cyrus,Hillary Clinton
3350,Beck Bennett,Bill Clinton
3330,Jason Sudeikis,Dana Milbank
2611,Fred Armisen,Mahmoud Ahmadinejad
3234,Kate McKinnon,Ann Romney
3325,Bill Hader,Darrell Issa
3329,Taran Killam,Trey Gowdy
3326,Bobby Moynihan,Ariel Castro
3328,Nasim Pedrad,Jodi Arias
3327,Kenan Thompson,Elijah Cummings
3026,Fred Armisen,Mike Bloomberg
3323,Kate McKinnon,Martha Stewart
2804,Bill Hader,James Carville
3324,Jay Pharoah,Dikembe Mutombo
3316,Bill Hader,Pat Toomey
3317,Jason Sudeikis,Joe Manchin
2466,Kenan Thompson,Al Roker
3319,Vanessa Bayer,Margaret Thatcher
3318,Bobby Moynihan,Bill Grundy
3193,Kenan Thompson,LL Cool J
3320,Jason Sudeikis,Brad Paisley
3321,Kate McKinnon,Marina Chapman
3322,Jason Sudeikis,John Tesh
3310,Bill Hader,Bob Ley
3311,Bill Hader,Adam Levine
3315,Taran Killam,Carson Daly
3312,Jay Pharoah,Usher
3313,Jason Sudeikis,Blake Shelton
3005,Kenan Thompson,Cee Lo Green
3309,Justin Timberlake,Elton John
2946,Fred Armisen,Eugene Levy
3300,Kevin Hart,Quvenzhané Wallis
3301,Fred Armisen,Pope Benedict XVI
2863,Jason Sudeikis,Wolf Blitzer
3302,Kenan Thompson,Peter Turkson
3305,Bill Hader,Mark Cuban
3306,Jason Sudeikis,Kevin O'Leary
3295,Christoph Waltz,Pope Benedict XVI
3296,Jay Pharoah,"Samuel L. Jackson , Judas Iscariot"
3297,Kenan Thompson,"Ving Rhames , Pontius Pilate"
3299,Bill Hader,Ted Nugent
3292,Taran Killam,Steve Tasker
3293,Tim Robinson,Bill Cowher
3290,Jason Sudeikis,Dan Marino
3291,Kenan Thompson,James Brown (II)
3294,Taran Killam,Liam Hemsworth
2996,Jason Sudeikis,Billy Ray Cyrus
2596,Bill Hader,John Mayer
3286,Taran Killam,Pat Monahan
3284,Jason Sudeikis,Jason Mraz
3285,Kenan Thompson,Darius Rucker
3287,Adam Levine,Yaniv Schulman
3288,Taran Killam,Max Joseph
2637,Jason Sudeikis,Joseph Biden
3240,Kate McKinnon,Jodie Foster
3280,Bobby Moynihan,Manti Te'o
3281,Jason Sudeikis,Lance Armstrong
3282,Bill Hader,Tommy Lee Jones
2034,Alec Baldwin,Tony Bennett
3000,Fred Armisen,Queen Elizabeth
3275,Martin Short,Larry David
3279,Taran Killam,Michael Keaton
3277,Kate McKinnon,Edie Falco
3276,Cecily Strong,Fran Drescher
2746,Jason Sudeikis,Philip Seymour Hoffman
3025,Kenan Thompson,Forest Whitaker
2832,Bill Hader,Lindsey Buckingham
2993,Bill Hader,John Boehner
3274,Jamie Foxx,Tyler Perry
3271,Cecily Strong,Paula Broadwell
3272,Cecily Strong,Jill Kelley
3267,Taran Killam,Matt Romney
3266,Taran Killam,Josh Romney
3198,Taran Killam,Tagg Romney
